area,contact_is_private_seller,district,dpe,estate_type,ges,is_exclusive,price,rooms,sold,selling_time,old_price,appartment_size,price_decrease_percent,bedrooms,level,balcony,terrace,parking,elevator,box,garden,swimming_pool
42,0,4,E,Appartment,B,t,195000,2,n,,225000,small_1_bed,"13,33",1,2,0,1,0,1,1,0,0
60,0,4,F,Appartment,F,t,198000,2,n,,0,small_2_bed,"0,00",1,4,0,0,0,0,0,0,0
55,0,3,E,Appartment,B,t,199000,3,n,,0,small_2_bed,"0,00",2,5,0,0,0,0,0,0,0
51,0,1,E,Triplex,B,t,199000,2,n,,0,small_2_bed,"0,00",1,3,1,1,0,1,1,0,0
35,0,4,D,Appartment,B,t,199000,2,n,,0,studio,"0,00",1,1,0,1,0,0,1,0,0
32,0,4,D,Appartment,A,t,200000,2,y,1 month,0,studio,"0,00",1,2,0,1,0,0,0,0,0
67,0,3,G,Appartment,G,f,201400,3,n,,0,big_2_bed_or_more,"0,00",2,3,0,0,0,0,0,0,0
40,0,1,C,Appartment,A,f,204256,2,n,,218400,small_1_bed,"6,48",1,2,1,1,1,0,0,0,0
46,0,2,D,Appartment,D,t,205000,2,y,1 month,0,small_1_bed,"0,00",1,3,1,0,1,0,0,0,0
40,0,3,C,Appartment,A,f,208500,2,n,,234000,small_1_bed,"10,90",1,2,0,1,1,1,0,0,0
40,0,4,D,Appartment,B,t,209000,2,y,2 weeks,0,small_1_bed,"0,00",1,2,0,1,0,0,1,0,0
47,0,1,C,Appartment,A,f,210000,2,n,,0,small_1_bed,"0,00",1,3,0,0,0,1,0,0,0
77,0,4,F,Appartment,F,f,210000,4,n,,0,big_2_bed_or_more,"0,00",2,4,1,0,0,0,1,0,0
40,0,4,C,Appartment,C,t,215000,2,n,,0,small_1_bed,"0,00",1,2,0,1,0,1,1,0,0
33,0,2,C,Duplex,A,t,215000,2,n,,0,studio,"0,00",1,2,0,1,0,1,1,0,0
33,0,2,C,Appartment,C,t,215500,2,y,1 month,0,studio,"0,00",1,1,0,1,1,1,0,0,0
44,0,1,D,Studio,B,f,219000,2,n,,0,small_1_bed,"0,00",0,2,0,1,1,0,0,0,0
79,0,2,F,Appartment,F,f,220000,4,n,,0,big_2_bed_or_more,"0,00",3,4,1,0,0,1,0,0,0
80,1,3,C,Appartment,A,f,220000,4,y,2 weeks,0,big_2_bed_or_more,"0,00",3,2,0,1,0,1,1,0,0
30,0,1,D,Studio,D,f,220000,1,y,2 weeks,0,studio,"0,00",0,7,1,0,1,1,0,0,0
38,0,2,C,Appartment,A,t,221000,2,y,1 month,0,small_1_bed,"0,00",1,1,0,1,0,1,1,0,1
40,0,1,C,Appartment,A,f,222600,2,n,,0,small_1_bed,"0,00",1,1,0,1,1,1,0,0,0
38,0,2,C,Appartment,A,f,223000,2,n,,0,small_1_bed,"0,00",1,3,0,1,0,0,1,1,0
30,0,4,C,Appartment,A,f,223000,2,n,,0,studio,"0,00",1,2,0,1,0,0,0,1,0
52,1,3,F,Appartment,D,f,223000,2,n,,0,small_2_bed,"0,00",1,1,0,0,0,0,0,0,0
71,0,2,D,Appartment,D,f,224200,4,y,2 months,283500,big_2_bed_or_more,"2,09",3,3,1,0,0,0,0,0,0
48,0,3,E,Appartment,B,f,225000,3,n,,0,small_1_bed,"0,00",1,1,0,0,0,0,0,0,0
57,0,1,D,Appartment,A,t,226000,3,n,,0,small_2_bed,"0,00",2,2,1,0,0,0,0,0,0
27,0,1,D,Appartment,D,t,228400,2,n,,0,studio,"0,00",1,2,0,1,0,1,0,0,0
